cp_id,content,source_standard,identifier,requirement_item,section_level1,section_level2,section_level3,section_level4,section_level5,applicability_level
116,"7.1.10.7 恶意代码防范管理
7.1.10.7.1 测评单元（L2-MMS1-15）
该测评单元包括以下要求：
a）测评指标：应提高所有用户的防恶意代码意识，对外来计算机或存储设备接入系统前进行恶意代码检查等。b）测评对象：运维负责人和管理制度类文档。c）测评实施包括如下内容：1）应访谈运维负责人是否采取培训和告知等方式提升员工的防恶意代码意识；2）应核查恶意代码防范管理制度是否明确对外来计算机或存储设备接入系统前进行恶意代码检查。d）单元判定：如果1）和2）均为肯定，则符合本测评单元指标要求，否则不符合或部分符合本测评单元指标要求。
7.1.10.7.2 测评单元（L2-MMS1-16）
该测评单元包括以下要求：
a）测评指标：应对恶意代码防范要求做出规定，包括防恶意代码软件的授权使用、恶意代码库升级、恶意代码的定期查杀等。b）测评对象：管理制度类文档。c）测评实施：应核查恶意代码防范管理制度是否包括防恶意代码软件的授权使用、恶意代码库升级、定期查杀等内容。d）单元判定：如果以上测评实施内容为肯定，则符合本测评单元指标要求，否则不符合本测评单元指标要求。
7.1.10.7.3 测评单元（L2-MMS1-17）
该测评单元包括以下要求：
a）测评指标：应定期检查恶意代码库的升级情况，对截获的恶意代码进行及时分析处理。b）测评对象：安全管理员和记录表单类文档。c）测评实施包括以下内容：1）应访谈安全管理员是否定期对恶意代码库进行升级，且对升级情况进行记录，对各类防病毒产品上截获的恶意代码是否进行分析并汇总上报，是否出现过大规模的病毒事件，如何处理；2）应核查是否具有恶意代码检测记录、恶意代码库升级记录和分析报告。d）单元判定：如果1）和2）均为肯定，则符合本测评单元指标要求，否则不符合或部分符合本测评单元指标要求。",信息安全技术网络安全等级保护测评要求,GB/T 28448-2019,恶意代码防范,信息安全技术网络安全等级保护测评要求,7 第二级测评要求,7.1 安全测评通用要求,7.1.10 安全运维管理,7.1.10.7 恶意代码防范管理,第二级
117,"7.1.10.8 配置管理
7.1.10.8.1 测评单元（L2-MMS1-18）
该测评单元包括以下要求：
a）测评指标：应记录和保存基本配置信息，包括网络拓扑结构、各个设备安装的软件组件、软件组件的版本和补丁信息、各个设备或软件组件的配置参数等。b）测评对象：系统管理员。c）测评实施：应访谈系统管理员是否对系统的基本配置信息进行记录和保存。d）单元判定：如果以上测评实施内容为肯定，则符合本测评单元指标要求，否则不符合本测评单元指标要求。",信息安全技术网络安全等级保护测评要求,GB/T 28448-2019,安全运维管理,信息安全技术网络安全等级保护测评要求,7 第二级测评要求,7.1 安全测评通用要求,7.1.10 安全运维管理,7.1.10.8 配置管理,第二级
118,"7.1.10.9 密码管理
7.1.10.9.1 测评单元（L2-MMS1-19）
该测评单元包括以下要求：
a）测评指标：应遵循密码相关的国家标准和行业标准。b）测评对象：安全管理员。c）测评实施：应访谈安全管理员密码管理过程中是否遵循密码相关的国家标准和行业标准要求。d）单元判定：如果以上测评实施内容为肯定，则符合本测评单元指标要求，否则不符合本测评单元指标要求。
7.1.10.9.2 测评单元（L2-MMS1-20）
该测评单元包括以下要求：
a）测评指标：应使用国家密码管理主管部门认证核准的密码技术和产品。b）测评对象：安全管理员。c）测评实施：应核查相关产品是否获得有效的国家密码管理主管部门规定的检测报告或密码产品型号证书。d）单元判定：如果以上测评实施内容为肯定，则符合本测评单元指标要求，否则不符合本测评单元指标要求。",信息安全技术网络安全等级保护测评要求,GB/T 28448-2019,数据保密性,信息安全技术网络安全等级保护测评要求,7 第二级测评要求,7.1 安全测评通用要求,7.1.10 安全运维管理,7.1.10.9 密码管理,第二级
119,"7.1.10.10 变更管理
7.1.10.10.1 测评单元（L2-MMS1-21）
该测评单元包括以下要求：
a）测评指标：应明确变更需求，变更前根据变更需求制定变更方案，变更方案经过评审、审批后方可实施。b）测评对象：记录表单类文档。c）测评实施包括以下内容：1）应核查变更方案是否包含变更类型、变更原因、变更过程、变更前评估等内容；2）应核查是否具有变更方案评审记录和变更过程记录文档。d）单元判定：如果1）和2）均为肯定，则符合本测评单元指标要求，否则不符合或部分符合本测评单元指标要求。",信息安全技术网络安全等级保护测评要求,GB/T 28448-2019,安全运维管理,信息安全技术网络安全等级保护测评要求,7 第二级测评要求,7.1 安全测评通用要求,7.1.10 安全运维管理,7.1.10.10 变更管理,第二级
120,"7.1.10.11 备份与恢复管理
7.1.10.11.1 测评单元（L2-MMS1-22）
该测评单元包括以下要求：
a）测评指标：应识别需要定期备份的重要业务信息、系统数据及软件系统等。b）测评对象：系统管理员和管理制度类文档。c）测评实施包括以下内容：1）应访谈系统管理员有哪些需定期备份的业务信息、系统数据及软件系统；2）应核查是否具有定期备份的重要业务信息、系统数据、软件系统的列表或清单。d）单元判定：如果1）和2）均为肯定，则符合本测评单元指标要求，否则不符合或部分符合本测评单元指标要求。
7.1.10.11.2 测评单元（L2-MMS1-23）
该测评单元包括以下要求：
a）测评指标：应规定备份信息的备份方式、备份频度、存储介质、保存期等。b）测评对象：管理制度类文档。c）测评实施：应核查备份与恢复管理制度是否明确备份方式、频度、介质、保存期等内容。d）单元判定：如果以上测评实施内容为肯定，则符合本测评单元指标要求，否则不符合本测评单元指标要求。
7.1.10.11.3 测评单元（L2-MMS1-24）
该测评单元包括以下要求：
a）测评指标：应根据数据的重要性与数据对系统运行的影响，制定数据的备份策略和恢复策略、备份程序和恢复程序等。b）测评对象：管理制度类文档。c）测评实施：应核查备份和恢复的策略文档是否根据数据的重要程度制定相应备份恢复策略和程序等。d）单元判定：如果以上测评实施内容为肯定，则符合本测评单元指标要求，否则不符合本测评单元指标要求。",信息安全技术网络安全等级保护测评要求,GB/T 28448-2019,数据备份与恢复,信息安全技术网络安全等级保护测评要求,7 第二级测评要求,7.1 安全测评通用要求,7.1.10 安全运维管理,7.1.10.11 备份与恢复管理,第二级
121,"7.1.10.12 安全事件处置
7.1.10.12.2 测评单元（L2-MMS1-26）
该测评单元包括以下要求：
a）测评指标：应制定安全事件报告和处置管理制度，明确安全事件类型，规定安全事件的现场处理、事件报告和后期恢复的管理职责。b）测评对象：管理制度类文档。c）测评实施：应核查安全事件报告和处置管理制度是否明确安全事件类型、事件处置流程、事件报告和恢复等方面的内容。d）单元判定：如果以上测评实施内容为肯定，则符合本测评单元指标要求，否则不符合本测评单元指标要求。
7.1.10.12.3 测评单元（L2-MMS1-27）
该测评单元包括以下要求：
a）测评指标：应根据国家相关管理部门对计算机安全事件等级划分方法和安全事件对本系统产生的影响，对本系统计算机安全事件进行等级划分。b）测评对象：管理制度类文档。c）测评实施：应核查安全事件报告和处置管理制度是否明确安全事件的等级划分原则。d）单元判定：如果以上测评实施内容为肯定，则符合本测评单元指标要求，否则不符合本测评单元指标要求。",信息安全技术网络安全等级保护测评要求,GB/T 28448-2019,安全事件管理,信息安全技术网络安全等级保护测评要求,7 第二级测评要求,7.1 安全测评通用要求,7.1.10 安全运维管理,7.1.10.12 安全事件处置,第二级
122,"7.1.10.13 应急预案管理
7.1.10.13.1 测评单元（L2-MMS1-28）
该测评单元包括以下要求：
a）测评指标：应规定统一的应急预案框架，包括启动预案的条件、应急组织构成、应急资源保障、事后教育和培训等内容。b）测评对象：管理制度类文档。c）测评实施：应核查应急预案框架是否覆盖启动应急预案的条件、应急组织构成、应急资源保障、事后教育和培训等方面内容。d）单元判定：如果以上测评实施内容为肯定，则符合本测评单元指标要求，否则不符合本测评单元指标要求。
7.1.10.13.2 测评单元（L2-MMS1-29）
该测评单元包括以下要求：
a）测评指标：应制定重要事件的应急预案，包括应急处理流程、系统恢复流程等内容。b）测评对象：管理制度类文档和记录表单类文档。c）测评实施包括以下内容：1）应核查是否制定了重要事件的应急预案；2）应核查应急预案是否明确应急处理流程、系统恢复流程等内容，应急恢复流程是否与实际级别相符；3）应核查是否对应急预案进行过演练，是否具有应急预案演练记录。d）单元判定：如果1）~3）均为肯定，则符合本测评单元指标要求，否则不符合或部分符合本测评单元指标要求。",信息安全技术网络安全等级保护测评要求,GB/T 28448-2019,安全事件管理,信息安全技术网络安全等级保护测评要求,7 第二级测评要求,7.1 安全测评通用要求,7.1.10 安全运维管理,7.1.10.13 应急预案管理,第二级
123,"7.1.10.14 外包运维管理
7.1.10.14.1 测评单元（L2-MMS1-30）
该测评单元包括以下要求：
a）测评指标：应确保外包运维服务商的选择符合国家的有关规定。b）测评对象：运维负责人。c）测评实施：应访谈运维负责人选择的外包运维服务商是否符合国家有关规定。d）单元判定：如果以上测评实施内容为肯定，则符合本测评单元指标要求，否则不符合本测评单元指标要求。
7.1.10.14.2 测评单元（L2-MMS1-31）
该测评单元包括以下要求：
a）测评指标：应与选定的外包运维服务商签订相关的协议，明确约定外包运维的范围、工作内容。b）测评对象：记录表单类文档。c）测评实施：应核查外包运维服务合同是否明确外包运维的范围、工作内容、双方的责任、本端的资源、保密要求等内容。d）单元判定：如果以上测评实施内容为肯定，则符合本测评单元指标要求，否则不符合本测评单元指标要求。",信息安全技术网络安全等级保护测评要求,GB/T 28448-2019,外包与供应商管理,信息安全技术网络安全等级保护测评要求,7 第二级测评要求,7.1 安全测评通用要求,7.1.10 安全运维管理,7.1.10.14 外包运维管理,第二级
124,"8.1.1.1 物理位置选择
8.1.1.1.1 测评单元（L3-PES1-01）
该测评单元包括以下要求：
a）测评指标：机房场地应选择在具有防震、防风和防雨等能力的建筑内。b）测评对象：记录表单类文档。c）测评实施：应核查机房的设计或验收文档是否明确机房的防震、防风和防雨能力，是否明确机房的建设位置。d）单元判定：如果以上测评实施内容为肯定，则符合本测评单元指标要求，否则不符合本测评单元指标要求。
8.1.1.1.2 测评单元（L3-PES1-02）
该测评单元包括以下要求：
a）测评指标：机房场地应避免设在建筑物的高层或地下室，以及用水设备的下层或隔壁。b）测评对象：机房管理员和机房。c）测评实施：应核查机房是否建设在建筑物的高层或地下室，是否建设在用水设备的下层或隔壁。d）单元判定：如果以上测评实施内容为肯定，则符合本测评单元指标要求，否则不符合本测评单元指标要求。",信息安全技术网络安全等级保护测评要求,GB/T 28448-2019,物理访问控制,信息安全技术网络安全等级保护测评要求,8 第三级测评要求,8.1 安全测评通用要求,8.1.1 安全物理环境,8.1.1.1 物理位置选择,第三级
125,"8.1.1.2 物理访问控制
8.1.1.2.1 测评单元（L3-PES1-03）
该测评单元包括以下要求：
a）测评指标：机房出入口应配置电子门禁系统，控制、鉴别和记录进入的人员。b）测评对象：机房管理员和机房。c）测评实施：应核查机房出入口是否配置电子门禁系统，是否能够控制、鉴别和记录进入的人员。d）单元判定：如果以上测评实施内容为肯定，则符合本测评单元指标要求，否则不符合本测评单元指标要求。",信息安全技术网络安全等级保护测评要求,GB/T 28448-2019,物理访问控制,信息安全技术网络安全等级保护测评要求,8 第三级测评要求,8.1 安全测评通用要求,8.1.1 安全物理环境,8.1.1.2 物理访问控制,第三级
126,"8.1.1.3 防盗窃和防破坏
8.1.1.3.1 测评单元（L3-PES1-04）
该测评单元包括以下要求：
a）测评指标：应将设备或主要部件进行固定，并设置明显的不易除去的标识。b）测评对象：机房管理员和设备。c）测评实施：应核查机房内设备或主要部件是否固定，是否设置明显的不易除去的标识。d）单元判定：如果以上测评实施内容为肯定，则符合本测评单元指标要求，否则不符合本测评单元指标要求。
8.1.1.3.2 测评单元（L3-PES1-05）
该测评单元包括以下要求：
a）测评指标：应将通信线缆铺设在隐蔽安全处。b）测评对象：机房管理员和机房。c）测评实施：应核查机房内通信线缆是否铺设在隐蔽安全处。d）单元判定：如果以上测评实施内容为肯定，则符合本测评单元指标要求，否则不符合本测评单元指标要求。
8.1.1.3.3 测评单元（L3-PES1-06）
该测评单元包括以下要求：
a）测评指标：应设置机房防盗报警系统或设置有专人值守的视频监控系统。b）测评对象：机房管理员和机房。c）测评实施：应核查机房是否设置防盗报警系统或设置有专人值守的视频监控系统。d）单元判定：如果以上测评实施内容为肯定，则符合本测评单元指标要求，否则不符合本测评单元指标要求。",信息安全技术网络安全等级保护测评要求,GB/T 28448-2019,物理访问控制,信息安全技术网络安全等级保护测评要求,8 第三级测评要求,8.1 安全测评通用要求,8.1.1 安全物理环境,8.1.1.3 防盗窃和防破坏,第三级
127,"8.1.1.4 防雷击
8.1.1.4.1 测评单元（L3-PES1-07）
该测评单元包括以下要求：
a）测评指标：应将各类机柜、设施和设备等通过接地系统安全接地。b）测评对象：机房管理员和机房。c）测评实施：应核查机房内机柜、设施和设备等是否通过接地系统安全接地。d）单元判定：如果以上测评实施内容为肯定，则符合本测评单元指标要求，否则不符合本测评单元指标要求。
8.1.1.4.2 测评单元（L3-PES1-08）
该测评单元包括以下要求：
a）测评指标：应采取措施防止感应雷，例如设置防雷保安器或过压保护装置等。b）测评对象：机房管理员和机房。c）测评实施：应核查机房内是否设置防雷保安器或过压保护装置等防感应雷措施。d）单元判定：如果以上测评实施内容为肯定，则符合本测评单元指标要求，否则不符合本测评单元指标要求。",信息安全技术网络安全等级保护测评要求,GB/T 28448-2019,物理环境安全,信息安全技术网络安全等级保护测评要求,8 第三级测评要求,8.1 安全测评通用要求,8.1.1 安全物理环境,8.1.1.4 防雷击,第三级
128,"8.1.1.5 防火
8.1.1.5.1 测评单元（L3-PES1-09）
该测评单元包括以下要求：
a）测评指标：机房应设置火灾自动消防系统，能够自动检测火情、自动报警，并自动灭火。b）测评对象：机房管理员和机房。c）测评实施：应核查机房内是否设置火灾自动消防系统，是否能够自动检测火情、自动报警，并自动灭火。d）单元判定：如果以上测评实施内容为肯定，则符合本测评单元指标要求，否则不符合本测评单元指标要求。8.1.1.5.2 测评单元（L3-PES1-10）
该测评单元包括以下要求：
a）测评指标：机房及相关的工作房间和辅助房应采用具有耐火等级的建筑材料。b）测评对象：机房管理员和机房。c）测评实施：应核查机房及相关的工作房间和辅助房是否采用具有耐火等级的建筑材料。d）单元判定：如果以上测评实施内容为肯定，则符合本测评单元指标要求，否则不符合本测评单元指标要求。
8.1.1.5.3 测评单元（L3-PES1-11）
该测评单元包括以下要求：
a）测评指标：应对机房划分区域进行管理，区域和区域之间设置隔离防火措施。b）测评对象：机房管理员和机房。c）测评实施：应核查机房是否划分区域进行管理，区域和区域之间是否设置隔离防火措施。d）单元判定：如果以上测评实施内容为肯定，则符合本测评单元指标要求，否则不符合本测评单元指标要求。",信息安全技术网络安全等级保护测评要求,GB/T 28448-2019,物理环境安全,信息安全技术网络安全等级保护测评要求,8 第三级测评要求,8.1 安全测评通用要求,8.1.1 安全物理环境,8.1.1.5 防火,第三级
129,"8.1.1.6 防水和防潮
8.1.1.6.1 测评单元（L3-PES1-12）
该测评单元包括以下要求：
a）测评指标：应采取措施防止雨水通过机房窗户、屋顶和墙壁渗透。b）测评对象：机房管理员和机房。c）测评实施：应核查机房是否采取措施防止雨水通过窗户、屋顶和墙壁渗透。d）单元判定：如果以上测评实施内容为肯定，则符合本测评单元指标要求，否则不符合本测评单元指标要求。
8.1.1.6.2 测评单元（L3-PES1-13）
该测评单元包括以下要求：
a）测评指标：应采取措施防止机房内水蒸气结露和地下积水的转移与渗透。b）测评对象：机房管理员和机房。c）测评实施：应核查机房是否采取措施防止水蒸气结露和地下积水的转移与渗透。d）单元判定：如果以上测评实施内容为肯定，则符合本测评单元指标要求，否则不符合本测评单元指标要求。
8.1.1.6.3 测评单元（L3-PES1-14）
该测评单元包括以下要求：
a）测评指标：应安装对水敏感的检测仪表或元件，对机房进行防水检测和报警。b）测评对象：机房管理员和机房。c）测评实施：应核查机房是否安装对水敏感的检测仪表或元件，对机房进行防水检测和报警。d）单元判定：如果以上测评实施内容为肯定，则符合本测评单元指标要求，否则不符合本测评单元指标要求。",信息安全技术网络安全等级保护测评要求,GB/T 28448-2019,物理环境安全,信息安全技术网络安全等级保护测评要求,8 第三级测评要求,8.1 安全测评通用要求,8.1.1 安全物理环境,8.1.1.6 防水和防潮,第三级
130,"8.1.1.7 防静电
8.1.1.7.1 测评单元（L3-PES1-15）
该测评单元包括以下要求：
a）测评指标：应采用防静电地板或地面并采用必要的接地防静电措施。b）测评对象：机房管理员和机房。c）测评实施：应核查机房是否采用防静电地板或地面并采用必要的接地防静电措施。d）单元判定：如果以上测评实施内容为肯定，则符合本测评单元指标要求，否则不符合本测评单元指标要求。",信息安全技术网络安全等级保护测评要求,GB/T 28448-2019,物理环境安全,信息安全技术网络安全等级保护测评要求,8 第三级测评要求,8.1 安全测评通用要求,8.1.1 安全物理环境,8.1.1.7 防静电,第三级
131,"8.1.1.8 温湿度控制

8.1.1.8.1 测评单元（L3-PES1-16）

该测评单元包括以下要求：

a）测评指标：应设置温湿度自动调节设施，使机房温湿度的变化在设备运行所允许的范围之内。b）测评对象：机房管理员和机房。c）测评实施：应核查机房是否设置温湿度自动调节设施，检查机房的温湿度是否在设备运行所允许的范围之内。d）单元判定：如果以上测评实施内容为肯定，则符合本测评单元指标要求，否则不符合本测评单元指标要求。",信息安全技术网络安全等级保护测评要求,GB/T 28448-2019,物理环境安全,信息安全技术网络安全等级保护测评要求,8 第三级测评要求,8.1 安全测评通用要求,8.1.1 安全物理环境,8.1.1.8 温湿度控制,第三级
132,"8.1.1.9 电力供应

8.1.1.9.1 测评单元（L3-PES1-17）

该测评单元包括以下要求：

a）测评指标：应在机房供电线路上配置稳压器和过电压防护设备。b）测评对象：机房管理员和机房。c）测评实施：应核查机房供电线路上是否配置稳压器和过电压防护设备。d）单元判定：如果以上测评实施内容为肯定，则符合本测评单元指标要求，否则不符合本测评单元指标要求。
8.1.1.9.2 测评单元（L3-PES1-18）
该测评单元包括以下要求：
a）测评指标：应提供短期的备用电力供应，至少满足设备在断电情况下的正常运行要求。b）测评对象：机房管理员和机房。c）测评实施：应核查机房是否提供短期的备用电力供应，至少满足设备在断电情况下的正常运行要求。d）单元判定：如果以上测评实施内容为肯定，则符合本测评单元指标要求，否则不符合本测评单元指标要求。
8.1.1.9.3 测评单元（L3-PES1-19）
该测评单元包括以下要求：
a）测评指标：应设置冗余或并行的电力电缆线路为计算机系统供电。b）测评对象：机房管理员和机房。c）测评实施：应核查机房是否设置冗余或并行的电力电缆线路为计算机系统供电。d）单元判定：如果以上测评实施内容为肯定，则符合本测评单元指标要求，否则不符合本测评单元指标要求。",信息安全技术网络安全等级保护测评要求,GB/T 28448-2019,物理环境安全,信息安全技术网络安全等级保护测评要求,8 第三级测评要求,8.1 安全测评通用要求,8.1.1 安全物理环境,8.1.1.9 电力供应,第三级
133,"8.1.1.10 电磁防护
8.1.1.10.1 测评单元（L3-PES1-20）
该测评单元包括以下要求：

a）测评指标：电源线和通信线缆应隔离铺设，避免互相干扰。b）测评对象：机房管理员和机房。c）测评实施：应核查机房内电源线和通信线缆是否隔离铺设，避免互相干扰。d）单元判定：如果以上测评实施内容为肯定，则符合本测评单元指标要求，否则不符合本测评单元指标要求。8.1.1.10.2 测评单元（L3-PES1-21）

该测评单元包括以下要求：

a）测评指标：应对关键设备实施电磁屏蔽。b）测评对象：机房管理员和机房。c）测评实施：应核查机房内关键设备是否实施电磁屏蔽。d）单元判定：如果以上测评实施内容为肯定，则符合本测评单元指标要求，否则不符合本测评单元指标要求。",信息安全技术网络安全等级保护测评要求,GB/T 28448-2019,物理环境安全,信息安全技术网络安全等级保护测评要求,8 第三级测评要求,8.1 安全测评通用要求,8.1.1 安全物理环境,8.1.1.10 电磁防护,第三级
134,"8.1.2.1 网络架构
8.1.2.1.1 测评单元（L3-CNS1-01）

该测评单元包括以下要求：

a）测评指标：应保证网络设备的业务处理能力满足业务高峰期需要。b）测评对象：网络管理员和网络设备。c）测评实施：应核查网络设备的业务处理能力是否满足业务高峰期需要。d）单元判定：如果以上测评实施内容为肯定，则符合本测评单元指标要求，否则不符合本测评单元指标要求。
8.1.2.1.2 测评单元（L3-CNS1-02）

该测评单元包括以下要求：

a）测评指标：应保证网络各个部分的带宽满足业务高峰期需要。b）测评对象：网络管理员和网络设备。c）测评实施：应核查网络各个部分的带宽是否满足业务高峰期需要。d）单元判定：如果以上测评实施内容为肯定，则符合本测评单元指标要求，否则不符合本测评单元指标要求。8.1.2.1.3 测评单元（L3-CNS1-03）

该测评单元包括以下要求：

a）测评指标：应划分不同的网络区域，并按照方便管理和控制的原则为各网络区域分配地址。b）测评对象：网络管理员和网络拓扑图。c）测评实施：应核查是否划分不同的网络区域，是否按照方便管理和控制的原则为各网络区域分配地址。d）单元判定：如果以上测评实施内容为肯定，则符合本测评单元指标要求，否则不符合本测评单元指标要求。
8.1.2.1.4 测评单元（L3-CNS1-04）

该测评单元包括以下要求：

a）测评指标：应避免将重要网络区域部署在边界处，重要网络区域与其他网络区域之间应采取可靠的技术隔离手段。b）测评对象：网络管理员和网络拓扑图。c）测评实施：应核查重要网络区域是否部署在边界处，重要网络区域与其他网络区域之间是否采取可靠的技术隔离手段。d）单元判定：如果以上测评实施内容为肯定，则符合本测评单元指标要求，否则不符合本测评单元指标要求。
8.1.2.1.5 测评单元（L3-CNS1-05）
该测评单元包括以下要求：
a）测评指标：应提供通信线路、关键网络设备和关键计算设备的硬件冗余，保证系统的可用性。b）测评对象：网络管理员和网络设备。c）测评实施：应核查通信线路、关键网络设备和关键计算设备是否提供硬件冗余，保证系统的可用性。d）单元判定：如果以上测评实施内容为肯定，则符合本测评单元指标要求，否则不符合本测评单元指标要求。",信息安全技术网络安全等级保护测评要求,GB/T 28448-2019,网络架构,信息安全技术网络安全等级保护测评要求,8 第三级测评要求,8.1 安全测评通用要求,8.1.2 安全通信网络,8.1.2.1 网络架构,第三级
135,"8.1.2.2 通信传输
8.1.2.2.1 测评单元（L3-CNS1-06）
该测评单元包括以下要求：
a）测评指标：应采用校验技术或密码技术保证通信过程中数据的完整性。b）测评对象：网络管理员和网络设备。c）测评实施：应核查是否采用校验技术或密码技术保证通信过程中数据的完整性。d）单元判定：如果以上测评实施内容为肯定，则符合本测评单元指标要求，否则不符合本测评单元指标要求。
8.1.2.2.2 测评单元（L3-CNS1-07）
该测评单元包括以下要求：
a）测评指标：应采用密码技术保证通信过程中数据的保密性。b）测评对象：网络管理员和网络设备。c）测评实施：应核查是否采用密码技术保证通信过程中数据的保密性。d）单元判定：如果以上测评实施内容为肯定，则符合本测评单元指标要求，否则不符合本测评单元指标要求。",信息安全技术网络安全等级保护测评要求,GB/T 28448-2019,通信传输安全,信息安全技术网络安全等级保护测评要求,8 第三级测评要求,8.1 安全测评通用要求,8.1.2 安全通信网络,8.1.2.2 通信传输,第三级
136,"8.1.2.3 可信验证

8.1.2.3.1 测评单元（L3-CNS1-08）

该测评单元包括以下要求：

a）测评指标：可基于可信根对通信设备的系统引导程序、系统程序、重要配置参数和通信应用程序等进行可信验证，并在检测到其可信性受到破坏后进行报警。b）测评对象：网络管理员和网络设备。c）测评实施：应核查是否基于可信根对通信设备的系统引导程序、系统程序、重要配置参数和通信应用程序等进行可信验证，并在检测到其可信性受到破坏后进行报警。d）单元判定：如果以上测评实施内容为肯定，则符合本测评单元指标要求，否则不符合本测评单元指标要求。",信息安全技术网络安全等级保护测评要求,GB/T 28448-2019,可信验证,信息安全技术网络安全等级保护测评要求,8 第三级测评要求,8.1 安全测评通用要求,8.1.2 安全通信网络,8.1.2.3 可信验证,第三级
137,"8.1.3.1 边界防护

8.1.3.1.1 测评单元（L3-ABS1-01）

该测评单元包括以下要求：

a）测评指标：应保证跨越边界的访问和数据流通过边界设备提供的受控接口进行通信。b）测评对象：网络管理员和边界设备。c）测评实施：应核查是否保证跨越边界的访问和数据流通过边界设备提供的受控接口进行通信。d）单元判定：如果以上测评实施内容为肯定，则符合本测评单元指标要求，否则不符合本测评单元指标要求。
8.1.3.1.2 测评单元（L3-ABS1-02）

该测评单元包括以下要求：

a）测评指标：应能够对非授权设备私自联到内部网络的行为进行检查或限制。b）测评对象：网络管理员和边界设备。c）测评实施：应核查是否能够对非授权设备私自联到内部网络的行为进行检查或限制。d）单元判定：如果以上测评实施内容为肯定，则符合本测评单元指标要求，否则不符合本测评单元指标要求。
8.1.3.1.3 测评单元（L3-ABS1-03）

该测评单元包括以下要求：

a）测评指标：应能够对内部用户非授权联到外部网络的行为进行检查或限制。b）测评对象：网络管理员和边界设备。c）测评实施：应核查是否能够对内部用户非授权联到外部网络的行为进行检查或限制。d）单元判定：如果以上测评实施内容为肯定，则符合本测评单元指标要求，否则不符合本测评单元指标要求。
8.1.3.1.4 测评单元（L3-ABS1-04）

该测评单元包括以下要求：

a）测评指标：应能够对无线网络的使用进行管控，包括无线网络接入点物理位置、信号覆盖范围、无线接入终端管控措施等。b）测评对象：网络管理员和边界设备。c）测评实施：应核查是否能够对无线网络的使用进行管控，包括无线网络接入点物理位置、信号覆盖范围、无线接入终端管控措施等。d）单元判定：如果以上测评实施内容为肯定，则符合本测评单元指标要求，否则不符合本测评单元指标要求。",信息安全技术网络安全等级保护测评要求,GB/T 28448-2019,边界防护,信息安全技术网络安全等级保护测评要求,8 第三级测评要求,8.1 安全测评通用要求,8.1.3 安全区域边界,8.1.3.1 边界防护,第三级
138,"8.1.3.2 访问控制

8.1.3.2.1 测评单元（L3-ABS1-05）

该测评单元包括以下要求：

a）测评指标：应在网络边界或区域之间根据访问控制策略设置访问控制规则，默认情况下除允许通信外受控接口拒绝所有通信。b）测评对象：网络管理员和边界设备。c）测评实施：应核查是否在网络边界或区域之间根据访问控制策略设置访问控制规则，默认情况下除允许通信外受控接口拒绝所有通信。d）单元判定：如果以上测评实施内容为肯定，则符合本测评单元指标要求，否则不符合本测评单元指标要求。
8.1.3.2.2 测评单元（L3-ABS1-06）

该测评单元包括以下要求：

a）测评指标：应删除多余或无效的访问控制规则，优化访问控制列表，并保证访问控制规则数量最小化。b）测评对象：网络管理员和边界设备。c）测评实施：应核查是否删除多余或无效的访问控制规则，优化访问控制列表，并保证访问控制规则数量最小化。d）单元判定：如果以上测评实施内容为肯定，则符合本测评单元指标要求，否则不符合本测评单元指标要求。
8.1.3.2.3 测评单元（L3-ABS1-07）

该测评单元包括以下要求：

a）测评指标：应对源地址、目的地址、源端口、目的端口和协议等进行检查，以允许/拒绝数据包进出。b）测评对象：网络管理员和边界设备。c）测评实施：应核查是否对源地址、目的地址、源端口、目的端口和协议等进行检查，以允许/拒绝数据包进出。d）单元判定：如果以上测评实施内容为肯定，则符合本测评单元指标要求，否则不符合本测评单元指标要求。
8.1.3.2.4 测评单元（L3-ABS1-08）

该测评单元包括以下要求：

a）测评指标：应能根据会话状态信息为进出数据流提供明确的允许/拒绝访问的能力。b）测评对象：网络管理员和边界设备。c）测评实施：应核查是否能根据会话状态信息为进出数据流提供明确的允许/拒绝访问的能力。d）单元判定：如果以上测评实施内容为肯定，则符合本测评单元指标要求，否则不符合本测评单元指标要求。
8.1.3.2.5 测评单元（L3-ABS1-09）

该测评单元包括以下要求：

a）测评指标：应对进出网络的数据流实现基于应用协议和应用内容的访问控制。b）测评对象：网络管理员和边界设备。c）测评实施：应核查是否对进出网络的数据流实现基于应用协议和应用内容的访问控制。d）单元判定：如果以上测评实施内容为肯定，则符合本测评单元指标要求，否则不符合本测评单元指标要求。",信息安全技术网络安全等级保护测评要求,GB/T 28448-2019,访问控制,信息安全技术网络安全等级保护测评要求,8 第三级测评要求,8.1 安全测评通用要求,8.1.3 安全区域边界,8.1.3.2 访问控制,第三级
